id,timestamp,event_type,severity,source,description,event_id,threat_score
531,2025-12-11T03:17:50.735539,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
530,2025-12-11T03:17:50.729492,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
529,2025-12-11T03:17:50.726498,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
528,2025-12-11T03:17:50.722063,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
527,2025-12-11T03:17:50.718217,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
526,2025-12-11T03:17:50.713213,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: SYSTEM,4624,10
525,2025-12-11T03:17:50.700514,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
524,2025-12-11T03:17:45.736948,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
523,2025-12-11T03:17:45.727714,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
522,2025-12-11T03:17:45.722345,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
521,2025-12-11T03:17:45.716755,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
520,2025-12-11T03:17:45.713633,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
519,2025-12-11T03:17:45.707883,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: SYSTEM,4624,10
518,2025-12-11T03:17:45.699571,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
517,2025-12-11T03:17:40.758950,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
516,2025-12-11T03:17:40.754723,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
515,2025-12-11T03:17:40.750148,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
514,2025-12-11T03:17:40.746259,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
